bird,vidid,experiment,solocomp,capture_doy,trial_doy,daysafter,daysafterSTD,wing.length,wing.ar,mass,w.lifted,massSTD,wing.lengthSTD,wing.arSTD,w.liftedSTD,ss.total_vel,ss.hor_acel,ss.hor_decel,ss.pitch_down,ss.pitch_up,ss.vert_down_acel,ss.vert_up_acel,ss.yaw,ss.arc,ss.pitch_roll,PRTpercent,mean.total_vel,mean.hor_acel,mean.hor_decel,mean.pitch_down,mean.pitch_up,mean.vert_down_acel,mean.vert_up_acel,mean.yaw,mean.arc_force,mean.arc_avghvel,mean.arc_radius,mean.pr_degrees,mean.pr_time
GAS01,143321,Van,solo,24,51,27,-0.755937982,51.623,7.127,4.5,7.22,-0.409536366,0.411963948,-1.714977991,1.337718043,831,569,613,394,242,88,69,231,16,200,0.925925926,1.709068107,4.399673863,-5.373443956,-0.895582347,1.096362985,-2.924943969,3.216629846,1.411200048,3.711139895,1.376981719,0.54253721,34.657967,0.482178218
GAS01,163920,Van,comp,24,51,27,-0.755937982,51.623,7.127,4.5,7.22,-0.409536366,0.411963948,-1.714977991,1.337718043,810,467,498,383,253,143,124,279,26,113,0.81294964,1.630470172,3.890672195,-5.023197082,-0.945165005,1.156263629,-3.365172452,2.896126104,1.373622607,3.136821019,1.308129042,0.575568989,35.10664294,0.471017699
GAS02,150149,Van,solo,-20,56,76,0.44714133,52.871,7.833,4.37,4.88,-0.744701721,0.922862538,0.14401197,-0.792408977,1122,739,930,121,66,226,189,405,69,62,0.473282443,1.465316362,3.017840894,-3.271377399,-0.771095376,0.952682256,-3.837913812,4.695263797,1.321428078,3.845517379,0.801541507,0.187012536,107.9070694,0.600564516
GAS02,163920,Van,comp,-20,51,71,0.324378135,52.871,7.833,4.37,4.88,-0.744701721,0.922862538,0.14401197,-0.792408977,933,672,717,85,79,118,93,207,84,37,0.305785124,1.394872184,3.231285351,-3.633287805,-0.784973231,0.892574378,-2.947511588,3.63796688,1.356845623,4.463385606,0.893695286,0.209974136,129.5767938,0.551891892
GAS03,102128,Van,solo,51,58,7,-1.246990763,55.445,7.593,4.62,5.66,-0.100152961,1.976590881,-0.487939292,0.00912714,3055,2719,2728,213,54,180,149,268,411,514,0.555675676,1.696862822,4.987081652,-5.460090448,-0.897150979,1.01947635,-3.427915512,3.92090319,1.522391997,4.618197834,1.160044502,0.397018766,158.0948099,0.494095331
GAS03,94818,Van,comp,51,61,10,-1.173332846,55.445,7.593,4.62,5.66,-0.100152961,1.976590881,-0.487939292,0.00912714,3097,2674,2723,246,106,163,113,531,303,370,0.549777117,1.583581401,4.808738059,-5.232812636,-0.927481985,1.145135614,-3.531687049,3.97198578,1.623016566,5.436228949,1.052800942,0.286669591,158.3982281,0.489486486
GAS04,153221,Van,solo,58,60,2,-1.369753958,54.228,7.13,4.63,5.66,-0.074371011,1.47838288,-1.707078601,-1.39696563,1683,1028,1051,84,52,386,334,160,66,137,0.674876847,1.475652962,3.73210201,-3.462594633,-0.776328315,0.820666856,-3.406159839,4.401412106,1.301543781,5.156672631,0.817989239,0.157294933,141.7649748,0.548357664
GAS04,94818,Van,comp,58,61,3,-1.345201319,54.228,7.13,4.63,5.66,-0.074371011,1.47838288,-1.707078601,-1.39696563,883,383,384,85,36,367,325,85,110,52,0.320987654,1.66126762,3.645144164,-3.684881131,-0.925892759,1.007747307,-4.245988335,4.934108734,1.371397287,5.450586806,0.792007846,0.120511662,127.8912029,0.484615385
GAS05,152808,Van,comp,79,103,24,-0.8295959,52.549,7.278,4.23,6.44,-1.105649027,0.791044152,-1.317375323,0.254682238,871,692,626,588,299,18,24,1188,42,76,0.644067797,1.247033225,2.875871861,-3.708440352,-0.849130605,0.989661257,-2.659100981,3.884874287,1.307005661,3.759558671,1.100178887,0.358871192,121.0614364,0.603092105
GAS05,105234,Van,solo,79,103,24,-0.8295959,52.549,7.278,4.23,6.44,-1.105649027,0.791044152,-1.317375323,0.254682238,852,762,644,977,640,3,1,1559,26,93,0.781512605,1.150189615,3.040061995,-3.677513245,-0.813989648,0.896141326,-3.618743699,3.520368378,1.341460952,3.104524345,1.03338152,0.377785255,123.9545203,0.60016129
GAS06,152808,Van,comp,79,103,24,-0.8295959,53.641,7.557,4.75,5.27,0.235012394,1.238080418,-0.582731981,-0.736681675,1722,1120,1309,181,112,237,168,248,219,183,0.455223881,1.551993678,3.516435143,-3.594766875,-0.953629562,1.062547738,-2.672241299,3.041767144,1.474863065,3.950277598,1.05883785,0.329915134,128.8523739,0.51726776
GAS06,131718,Van,solo,79,103,24,-0.8295959,53.641,7.557,4.75,5.27,0.235012394,1.238080418,-0.582731981,-0.736681675,1653,960,1070,170,160,419,304,173,193,204,0.513853904,1.671624952,3.975591699,-3.660256191,-0.785427526,1.071322951,-2.694210697,2.915809641,1.444212788,4.099347685,0.982468828,0.290866063,143.9578338,0.520147059
GAS07,151007,Van,comp,83,108,25,-0.80504326,52.132,7.345,4.44,6.44,-0.564228069,0.620335248,-1.140955595,0.566318683,847,611,664,305,136,109,110,195,59,113,0.656976744,1.813379789,5.683157605,-5.325481615,-1.131316091,1.180880003,-3.838423754,4.013615801,1.475852234,4.230113281,1.463882867,0.561558594,114.1099802,0.52622807
GAS07,105650,Van,solo,83,108,25,-0.80504326,52.132,7.345,4.44,6.44,-0.564228069,0.620335248,-1.140955595,0.566318683,1784,1266,1431,462,288,221,214,261,33,334,0.910081744,1.83885689,6.554103495,-6.148623651,-1.009699175,1.120363688,-3.83891466,3.548193185,1.540057768,4.915337204,1.451923295,0.485987534,139.7701612,0.488218563
GAS08,151007,Van,comp,84,108,24,-0.8295959,53.521,7.366,4.69,6.44,0.080320692,1.188955554,-1.08565986,0.758210178,1174,696,756,457,275,215,229,342,52,301,0.852691218,1.746114473,4.874083317,-5.457997603,-0.977616242,1.164419747,-3.693825506,4.228771404,1.720214741,4.779339692,1.094259362,0.305818197,104.7145664,0.479634551
GAS08,130557,Van,solo,84,108,24,-0.8295959,53.521,7.366,4.69,6.44,0.080320692,1.188955554,-1.08565986,0.758210178,1730,1020,1166,746,309,282,268,398,78,515,0.86846543,1.765500381,5.036745619,-5.685055844,-0.982309884,1.127764098,-2.961515234,3.583635675,1.649921808,4.606034551,1.135060792,0.351484568,102.8293961,0.472897287
REP01,134946,Rep,comp,20,71,51,-0.166674646,52.176,8.461,4.8,5.2,0.363922146,0.638347698,1.797617772,0.701253572,2195,1044,1166,274,83,291,91,125,368,462,0.556626506,3.014888668,8.011522381,-8.525116139,-1.312130993,1.185437227,-4.005494479,3.313554048,1.747298415,9.762163051,1.962433237,0.519299004,158.2778083,0.392683983
REP01,95928,Rep,solo,20,48,28,-0.731385343,52.176,8.461,4.8,5.2,0.363922146,0.638347698,1.797617772,0.701253572,2103,1479,1560,332,149,111,88,249,165,613,0.787917738,2.626408019,8.829306267,-8.933835027,-1.109426409,1.195845666,-3.58656086,4.180363144,1.506977943,7.990691083,1.976984646,0.656551791,85.43436669,0.358452769
REP01,142853,Rep,comp,20,48,28,-0.731385343,52.176,8.461,4.8,5.2,0.363922146,0.638347698,1.797617772,0.701253572,3351,2183,2210,452,166,446,339,250,513,846,0.622516556,2.728564381,7.910499976,-8.238199798,-1.10066309,1.139206278,-4.464726718,4.535821125,1.572901265,9.207999557,1.987764148,0.564566147,135.4046532,0.382807329
REP02,100438,Rep,solo,29,60,31,-0.657727426,51.522,8.231,4.47,5.6,-0.486882217,0.370617187,1.191997813,0.552011047,816,660,714,255,69,78,22,106,33,302,0.901492537,2.18599648,7.588666928,-7.875341077,-1.186165467,1.193404434,-3.605934574,3.227733375,1.804711977,6.128360351,1.809856449,0.587058476,131.3973747,0.405695364
REP02,143217,Rep,comp,29,60,31,-0.657727426,51.522,8.231,4.47,5.6,-0.486882217,0.370617187,1.191997813,0.552011047,1783,791,987,452,148,556,159,224,151,320,0.67940552,2.283000293,7.507671296,-7.385437014,-1.040021653,1.164956016,-4.204009483,3.70440544,1.628557662,6.900292568,1.792716495,0.553821553,150.5996459,0.396183801
REP02,134946,Rep,comp,29,71,42,-0.387648397,51.522,8.231,4.47,5.6,-0.486882217,0.370617187,1.191997813,0.552011047,324,218,263,113,42,46,13,58,17,81,0.826530612,2.731521885,8.738959644,-8.479649808,-1.339812542,1.316631561,-4.477820039,4.741754505,1.816160748,6.915988475,1.868504904,0.618244648,154.2232999,0.406975309
REP03,142853,Rep,comp,25,48,23,-0.854148539,49.188,8.439,4.44,4,-0.564228069,-0.584861427,1.739688906,-1.711745222,1155,658,704,182,58,127,85,169,216,198,0.47826087,2.770765826,6.17358843,-6.90906283,-0.93509753,1.20610537,-3.415860077,3.666982327,1.506804243,8.041910706,1.721309089,0.473073824,141.5701209,0.468838384
REP03,161328,Rep,comp,25,71,46,-0.289437841,49.188,8.439,4.44,4,-0.564228069,-0.584861427,1.739688906,-1.711745222,1215,843,984,253,63,211,113,156,131,304,0.698850575,2.732418319,7.51896999,-8.111643388,-1.121716486,1.142331091,-3.713931855,4.120785663,1.537148881,6.886188788,1.762072142,0.58374253,156.8853087,0.441398026
REP03,122942,Rep,solo,25,48,23,-0.854148539,49.188,8.439,4.44,4,-0.564228069,-0.584861427,1.739688906,-1.711745222,592,378,462,177,54,50,20,147,56,149,0.726829268,2.942737855,7.689058085,-8.529260693,-0.950773485,1.285405777,-2.964628034,3.201146102,1.515017778,9.713857406,1.854649654,0.472160995,135.6534049,0.5066
REP11,161328,Rep,comp,42,71,29,-0.706832704,50.743,8.155,4.74,5.6,0.209230444,0.051714941,0.991879913,0.458480603,391,183,270,50,19,48,33,29,37,96,0.721804511,3.228467607,7.326716182,-8.017738744,-1.119836918,1.157187737,-4.062828178,3.612865057,1.405237871,6.130148602,1.735864115,0.609601812,164.4222831,0.415052083
REP11,143217,Rep,comp,42,60,18,-0.976911734,50.743,8.155,4.74,5.6,0.209230444,0.051714941,0.991879913,0.458480603,3538,2401,2715,418,104,581,444,205,405,1228,0.751990202,2.599488054,7.608494828,-7.725069617,-0.942437238,1.05745077,-3.28404067,3.820637923,1.463093596,8.107900634,1.839974318,0.545086172,158.1747214,0.433754072
REP11,123506,Rep,solo,42,60,18,-0.976911734,50.743,8.155,4.74,5.6,0.209230444,0.051714941,0.991879913,0.458480603,2163,1784,1855,306,94,156,96,216,73,1063,0.935739437,2.980617183,8.807659899,-8.743139489,-0.950129122,1.059833206,-2.733143372,3.549072385,1.437884601,5.685643536,1.739957918,0.618703214,165.5370753,0.423334901
RSD01,111843,Rside,solo,160,293,133,1.846641755,49.026,7.585,4.4,6.05,-0.66735587,-0.651179994,-0.509004334,-1.09417237,1911,1313,1497,405,112,107,51,211,98,842,0.895744681,2.465478209,7.581220062,-8.475853232,-1.089477309,1.170926246,-3.439276188,4.27717145,1.603745292,5.686513712,1.911085269,0.745147542,131.7336833,0.439210214
RSD01,152503,Rside,comp,160,303,143,2.092168145,49.026,7.585,4.4,6.05,-0.66735587,-0.651179994,-0.509004334,-1.09417237,691,454,504,148,68,78,41,115,78,194,0.713235294,2.428925332,7.851499363,-8.015538774,-1.107019062,1.346954957,-3.537000596,3.538324623,1.722125409,6.721440781,1.982247802,0.706093009,146.0613852,0.433092784
RSD01,151755,Rside,comp,160,293,133,1.846641755,49.026,7.585,4.4,6.05,-0.66735587,-0.651179994,-0.509004334,-1.09417237,1392,796,856,263,80,177,161,168,149,378,0.717267552,2.31049282,6.918310825,-7.274614676,-1.167723747,1.163716798,-3.496482698,3.46391693,1.538103405,6.333255233,1.84251809,0.636903477,143.3965535,0.457579365
RSD02,111439,Rside,comp,168,294,126,1.674773281,49.914,7.634,4.48,5.66,-0.461100267,-0.287655997,-0.379980951,-1.60648094,1323,893,971,398,160,129,109,531,178,331,0.650294695,2.282409269,5.939729009,-6.28471756,-0.973589881,1.047544827,-3.419215207,4.537583281,1.430984499,7.579317268,1.72458206,0.489757715,132.8895841,0.449305136
RSD02,164959,Rside,comp,168,304,136,1.920299672,49.914,7.634,4.48,5.66,-0.461100267,-0.287655997,-0.379980951,-1.60648094,1751,1073,1116,540,207,455,418,603,180,423,0.701492537,2.09716969,6.007210866,-6.495896928,-1.015133428,1.141957461,-4.211020652,3.560612871,1.495100919,7.400136882,1.738969433,0.511750699,131.8668435,0.485307329
RSD02,173855,Rside,solo,168,292,124,1.625668003,49.914,7.634,4.48,5.66,-0.461100267,-0.287655997,-0.379980951,-1.60648094,818,422,486,199,62,91,30,194,31,230,0.881226054,1.930491692,5.820126015,-6.698519943,-1.032270766,1.005999222,-4.035839526,3.143771198,1.329872313,5.044277632,1.558361983,0.559866874,113.6675809,0.472173913
RSD03,120753,Rside,comp,168,300,132,1.822089116,45.76,7.977,4.09,6.44,-1.466596333,-1.988195055,0.523182727,0.644635616,1218,860,959,163,39,130,38,90,199,264,0.570194384,2.650000476,6.701496466,-7.132975083,-0.938336683,1.106680331,-2.745864096,4.898242763,1.560080399,7.593697069,1.930204415,0.598987468,135.5058797,0.430606061
RSD03,155232,Rside,comp,168,299,131,1.797536477,45.76,7.977,4.09,6.44,-1.466596333,-1.988195055,0.523182727,0.644635616,694,575,620,151,43,25,24,109,77,269,0.777456647,2.509761676,5.801162757,-6.601818305,-0.885693682,1.163712992,-3.33226537,3.789750783,1.40421064,6.861476046,1.763957759,0.538406955,153.049666,0.468698885
RSD03,165106,Rside,solo,168,298,130,1.772983838,45.76,7.977,4.09,6.44,-1.466596333,-1.988195055,0.523182727,0.644635616,1988,1418,1667,281,62,268,321,115,181,959,0.84122807,2.682018781,7.187779225,-7.367375334,-0.874094536,1.189214295,-2.955454733,2.458742878,1.548787303,6.272793084,1.480347036,0.410890803,163.2801301,0.402385417
RSD08,120753,Rside,comp,226,300,74,0.398036052,51.368,7.666,4.82,7.24,0.415486047,0.307573611,-0.295720783,1.511333695,1460,820,941,172,79,321,114,141,180,212,0.540816327,2.705256726,8.32190232,-8.808847253,-1.085265882,1.211660397,-3.996194658,3.839160416,1.772380105,9.258846821,1.95345367,0.581233629,137.5589195,0.404103774
RSD08,151240,Rside,comp,226,296,70,0.299825496,51.368,7.666,4.82,7.24,0.415486047,0.307573611,-0.295720783,1.511333695,1475,840,1044,212,93,218,131,199,209,321,0.605660377,2.652034677,7.532586277,-7.868637749,-1.00263092,1.230158007,-4.04108124,4.371520306,1.539594162,9.011321278,2.108695667,0.634353012,145.4083161,0.439906832
RSD08,153909,Rside,solo,226,288,62,0.103404384,51.368,7.666,4.82,7.24,0.415486047,0.307573611,-0.295720783,1.511333695,2100,1350,1519,366,96,68,414,121,236,863,0.785259327,3.213917319,7.852195265,-9.020467089,-1.057119958,1.230237162,-2.387463559,2.78908998,1.482654612,5.962240778,2.082245287,0.856615169,156.587845,0.421506373
RSD09,164959,Rside,comp,226,304,78,0.496246608,49.114,7.806,5.58,5.66,2.374914278,-0.615155094,0.072917453,-0.519540288,782,482,549,304,80,131,140,129,65,210,0.763636364,2.537787833,7.119299396,-8.222534321,-1.059238799,1.218285739,-3.647677799,3.114108468,1.611666139,7.377044826,1.460961553,0.419292156,133.412041,0.453357143
RSD09,180458,Rside,solo,226,288,62,0.103404384,49.114,7.806,5.58,5.66,2.374914278,-0.615155094,0.072917453,-0.519540288,918,364,515,211,93,221,125,176,37,135,0.784883721,2.830394528,9.359758141,-10.26079408,-1.024490816,1.142174694,-4.889726726,5.622511262,1.493029806,9.098759536,2.128712513,0.75104606,145.5070825,0.412888889
RSD09,151755,Rside,comp,226,293,67,0.226167579,49.114,7.806,5.58,5.66,2.374914278,-0.615155094,0.072917453,-0.519540288,1945,1200,1357,425,108,266,123,141,138,534,0.794642857,2.776235524,7.816501355,-8.612608723,-0.951619089,1.135414485,-3.058994886,3.201991721,1.554570826,7.816759576,1.969622773,0.664292822,159.7903094,0.429213483
RSD10,111439,Rside,comp,226,294,68,0.250720218,49.866,7.993,4.58,6.75,-0.203280763,-0.307305943,0.565312811,1.502518617,676,472,486,131,44,57,37,105,88,125,0.58685446,2.779196745,8.535760113,-8.685141646,-1.259859001,1.31753589,-4.186476732,4.464802213,1.570458034,9.303589319,2.168437223,0.630879736,137.8598903,0.42916
RSD10,150428,Rside,comp,226,300,74,0.398036052,49.866,7.993,4.58,6.75,-0.203280763,-0.307305943,0.565312811,1.502518617,345,277,286,78,23,18,14,50,47,51,0.520408163,2.982841981,9.400747705,-9.027617774,-1.236195611,1.196557021,-4.567660386,3.737264381,1.595363315,10.62276,2.260122915,0.600465097,148.7443673,0.459215686
RSD10,173802,Rside,solo,226,287,61,0.078851745,49.866,7.993,4.58,6.75,-0.203280763,-0.307305943,0.565312811,1.502518617,469,361,340,89,34,29,14,98,22,65,0.747126437,2.647742338,8.564571916,-8.62529891,-1.050389919,1.166258603,-3.504406251,3.327429287,1.387383791,11.26666232,2.352252709,0.590293274,130.4580767,0.480769231
RSD11,145709,Rside,solo,226,287,61,0.078851745,47.869,7.642,4.59,6.3,-0.177498812,-1.124825562,-0.358915909,-0.372873345,1180,641,696,242,94,178,56,183,50,209,0.806949807,2.367518346,10.10620169,-10.39726137,-1.179658782,1.44386477,-5.560510894,3.949205089,1.769938884,12.47771577,1.569108756,0.271666319,139.2655492,0.429738095
RSD11,151240,Rside,comp,226,296,70,0.299825496,47.869,7.642,4.59,6.3,-0.177498812,-1.124825562,-0.358915909,-0.372873345,1734,1219,1372,448,134,176,148,275,179,551,0.754794521,2.351355015,7.761858792,-8.110864298,-1.137726843,1.243725781,-4.181419828,4.143724671,1.704035215,8.786355081,1.846755127,0.50527673,153.7617639,0.459583333
RSD11,152503,Rside,comp,226,303,77,0.471693969,47.869,7.642,4.59,6.3,-0.177498812,-1.124825562,-0.358915909,-0.372873345,893,653,709,208,55,123,94,129,111,259,0.7,2.729854858,8.41541631,-8.586172627,-1.260615558,1.320317668,-4.336389121,4.039308882,1.734075023,11.14515845,1.93236781,0.473673294,157.5478649,0.428544061
RSD12,120815,Rside,solo,226,287,61,0.078851745,46.803,7.749,5.61,6,2.452260129,-1.561218108,-0.077170971,-0.065420984,1853,1266,984,350,71,106,91,176,403,602,0.599004975,3.403992047,7.984853249,-7.831945968,-0.958354176,1.195016179,-1.903042055,1.581636425,1.487577219,11.8861064,2.348685184,0.58588266,149.4192437,0.442375415
RSD12,155232,Rside,comp,226,299,73,0.373483413,46.803,7.749,5.61,6,2.452260129,-1.561218108,-0.077170971,-0.065420984,474,357,391,177,60,21,16,83,40,111,0.735099338,2.494522963,6.556105386,-7.432712341,-1.034340983,1.037541047,-3.703037416,2.982106597,1.488415033,7.96354037,1.774830885,0.490888499,151.5557546,0.479144144
RSD12,150428,Rside,comp,226,300,74,0.398036052,46.803,7.749,5.61,6,2.452260129,-1.561218108,-0.077170971,-0.065420984,247,181,180,85,32,14,7,54,17,29,0.630434783,2.604845819,7.975860119,-8.525386654,-1.093407492,1.181878067,-4.367558907,5.630424068,1.556391289,8.555708428,1.92516162,0.568685268,152.996536,0.437931034
